epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val,r_sparse_train
1,1.743893675623164,1.485708236694336,0.4851796718868831,0.001,0.3129753957574184,0.3242136240005493,171.18130199725812
2,1.5015968069501382,1.4552440643310547,0.4981035605978849,0.001,0.3368002004348315,0.33831721544265747,155.43266002948468
3,1.4377759058491442,1.405611515045166,0.5259824470995025,0.001,0.34802550421311307,0.3512759506702423,140.3984639094426
4,1.4131635243348635,1.3940635919570923,0.5304265257079844,0.001,0.35903339431836057,0.3607996702194214,125.76238397451547
5,1.3878121534575383,1.4054293632507324,0.5152215157618232,0.001,0.372681397658128,0.36862078309059143,111.45377584604117
6,1.4044123596157883,1.4060851335525513,0.5366844731791253,0.001,0.3704061324779804,0.36509251594543457,97.50340593778171
7,1.4249273592177103,1.431840419769287,0.5225663440609021,0.001,0.38127363988986385,0.3785054385662079,83.88725016667293
8,1.44687208224092,1.4644140005111694,0.525347934986953,0.001,0.3859108846921187,0.37809619307518005,70.72232437133789
9,1.4841646826050297,1.4999723434448242,0.5153518853205984,0.001,0.3830934487856351,0.378147155046463,58.03321339533879
10,1.5280535682806389,1.5439400672912598,0.5270772694082144,0.001,0.38553038468727696,0.38548314571380615,46.115533095139725
11,1.5672385637339992,1.574975609779358,0.5167656802166,0.001,0.38821412279055667,0.3825021982192993,35.184435037466194
12,1.5944961339471722,1.5978010892868042,0.4575531412332995,0.001,0.3843093136182198,0.34925034642219543,25.05657019981971
13,1.608687927200405,1.610460877418518,0.4514418766582681,0.0005,0.2906663343310356,0.18574939668178558,18.10287827711839
14,1.6178793935906295,1.6198387145996094,0.45277748377767735,0.0005,0.17264143148293862,0.11410317569971085,14.691508219792293
15,1.6257383644831165,1.6255675554275513,0.4200545090067608,0.0005,0.08278244590530029,0.07415486872196198,12.469627160292406
16,1.6294936963940394,1.6305941343307495,0.41158860535924957,0.0005,0.06695782565153562,0.044695109128952026,10.85000390272874
17,1.6399919251332036,1.636559009552002,0.41937970891475673,0.0005,0.03523712834486595,0.018674785271286964,9.503875402303843
18,1.6502479571987596,1.6463379859924316,0.41195705725181525,0.0005,0.015258726019125719,0.011396651156246662,8.783785673288198
19,1.6503654418938785,1.6494463682174683,0.4176119507712431,0.00025,0.01166651534059873,0.011449676938354969,8.517828097710243
20,1.6562654669278516,1.656619906425476,0.40525074530319666,0.00025,0.011963390601942172,0.011325804516673088,8.3015320117657
21,1.658479999079269,1.6608471870422363,0.41357385014900766,0.00025,0.011842028560260167,0.01134529523551464,8.082514982957106
22,1.6674448623870834,1.6650558710098267,0.3967875790600165,0.00025,0.01179295677978259,0.011420424096286297,7.851397312604464
23,1.6716417387756002,1.6687383651733398,0.4053391980979387,0.00025,0.011937655938359408,0.01157856360077858,7.60933701808636
24,1.672582030055274,1.6729602813720703,0.4070830666591031,0.00025,0.01188882880915816,0.011424916796386242,7.341335920187143
25,1.678511195298505,1.6752524375915527,0.40614919416058853,0.000125,0.010119662261926211,0.007017292082309723,7.142613337590144
26,1.679694563479534,1.677436351776123,0.4025304830641912,0.000125,0.007420953685561052,0.006986152846366167,7.059870463151198
27,1.6782489059538432,1.6801363229751587,0.4039173820998191,0.000125,0.007423154973926453,0.006959038786590099,6.9953350470616265
28,1.6850406046992124,1.6827294826507568,0.40458933479434933,0.000125,0.0074059019904010575,0.0069344681687653065,6.9255978144132175
